track_name,artist(s)_name,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
I Wrote The Book,Morgan Wallen,83021468,144,D,Major,68,83,81,9,0,8,4
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",139836056,94,A,Major,59,44,56,80,0,6,3
SPIT IN MY FACE!,ThxSoMch,303216294,94,G#,Major,73,65,79,5,2,11,6
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",221409663,113,G,Minor,79,66,74,8,0,11,5
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",58890931,148,E,Major,50,49,76,12,0,12,3
Red Ruby Da Sleeze,Nicki Minaj,81419389,98,C#,Major,70,29,73,12,0,11,26
Kahani Suno 2.0,Kaifi Khalil,156777415,140,B,Major,58,26,38,91,0,10,4
Nobody Gets Me,SZA,284908316,100,G,Major,36,28,28,81,0,18,3
PERO Tï¿,"Karol G, Quevedo",93438910,140,F#,Major,86,68,79,39,0,11,29
Hype Boy,NewJeans,363472647,100,E,Minor,59,78,94,27,0,29,23
Bloody Mary,Lady Gaga,372476382,100,A,Minor,59,49,65,2,0,13,3
WANDA,Quevedo,175399345,176,E,Minor,72,96,63,25,0,21,7
Thought You Should Know,Morgan Wallen,203221468,140,F#,Major,53,51,70,49,0,14,3
In The End,Linkin Park,1624165576,105,D#,Minor,55,40,90,1,0,32,6
Zona De Perigo,Leo Santana,134294498,135,F,Major,81,97,77,75,0,35,3
Lovezinho,Treyce,70069745,128,E,Minor,82,61,59,30,0,12,4
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",609293408,101,F,Major,74,43,69,12,0,12,7
Neverita,Bad Bunny,671365962,122,A#,Major,88,43,50,7,0,14,5
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",93587665,83,C#,Major,53,40,36,73,0,11,33
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",1223481149,77,B,Minor,72,59,76,24,0,42,28
Revenge,XXXTENTACION,1022258230,140,B,Minor,75,18,25,78,0,11,26
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",263453310,158,C#,Major,65,72,95,31,0,92,5
LA CANCIï¿½,"J Balvin, Bad Bunny",1435127549,176,G,Major,75,43,65,15,0,11,32
Love Again,The Kid Laroi,147538971,107,B,Minor,66,47,40,72,0,11,3
After Hours,The Weeknd,698086140,109,F,Minor,66,16,57,10,1,12,3
About Damn Time,Lizzo,723894473,109,A#,Minor,84,72,74,10,0,34,7
Besos Moja2,"Wisin & Yandel, ROSALï¿½",309483971,94,F,Minor,74,64,73,6,0,10,6
Maan Meri Jaan,King,319566866,96,F#,Minor,70,40,51,35,0,10,4
Moscow Mule,Bad Bunny,909001996,100,F,Minor,80,29,67,29,0,12,3
My Universe,"Coldplay, BTS",1061966512,105,A,Major,58,42,68,1,0,14,4
TRUSTFALL,P!nk,134255790,122,G#,Major,64,25,89,0,0,15,9
ANTIFRAGILE,LE SSERAFIM,301051721,105,A#,Minor,88,82,80,8,0,11,8
Boy's a liar,PinkPantheress,156338624,133,F,Major,66,74,84,25,0,21,4
Shirt,SZA,309653982,120,D#,Minor,82,55,45,15,3,9,10
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,297328960,177,A,Major,25,17,30,90,0,13,3
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,332506354,142,D,Minor,64,31,72,15,0,9,5
"Sex, Drugs, Etc.",Beach Weather,480507035,144,E,Minor,57,47,84,1,1,52,4
Boy With Luv (feat. Halsey),"Halsey, BTS",1065580332,120,B,Minor,65,80,86,9,0,19,10
"Hey, Mickey!",Baby Tate,122763672,135,D,Major,92,73,51,55,0,15,6
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",1365184,105,G,Major,82,62,74,10,0,33,7
Escapism. - Sped Up,"RAYE, 070 Shake",184308753,108,F#,Minor,44,38,77,9,0,9,20
Te Felicito,"Shakira, Rauw Alejandro",606361689,174,F,Major,70,57,64,23,0,8,32
TV,Billie Eilish,338564981,141,E,Minor,41,9,25,84,1,14,4
I'm Not The Only One,Sam Smith,1606986953,82,F,Major,68,50,49,56,0,8,4
Heather,Conan Gray,1301799902,92,F,Major,47,25,43,62,0,32,3
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",140187018,116,G#,Minor,77,65,80,6,0,15,4
Sugar Rush Ride,TOMORROW X TOGETHER,107642809,125,A#,Minor,71,83,89,1,0,17,9
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",556585270,83,C#,Major,46,34,64,31,0,7,34
Don't Start Now,Dua Lipa,2303033973,124,B,Minor,79,68,79,1,0,10,8
After Dark,Mr.Kitty,646886885,140,G#,Major,58,4,60,7,41,8,3
MIDDLE OF THE NIGHT,Elley Duhï¿,872137015,186,E,Minor,41,9,61,2,0,12,5
Atlantis,Seafret,571386359,166,G#,Minor,40,23,48,5,0,12,3
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",174006928,87,G,Major,87,52,52,31,0,28,24
How Do I Say Goodbye,Dean Lewis,284785823,82,G#,Major,40,39,64,21,0,7,7
Blind,SZA,163284000,114,A,Minor,46,60,28,91,0,21,4
Die For You,Joji,246390068,148,G#,Major,47,15,52,38,13,29,5
Doja,Central Cee,482257456,140,F#,Major,91,97,57,38,0,40,29
Gatita,Bellakath,168684524,101,G,Major,90,76,81,15,24,33,6
Rumble,"Skrillex, Flowdan, Fred again..",78489819,140,C#,Minor,81,6,84,5,23,6,6
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",195516622,88,G,Minor,49,24,66,19,0,18,29
Yonaguni,Bad Bunny,1260594497,180,C#,Major,64,44,65,28,0,14,12
Super Freaky Girl,Nicki Minaj,428685680,133,D,Major,95,91,89,6,0,31,24
Running Up That Hill (A Deal With God),Kate Bush,1024858327,108,A#,Minor,63,20,55,72,0,6,6
Dream On,Aerosmith,838586769,80,F,Minor,39,24,43,39,0,23,3
Limbo,Freddie Dredd,199386237,75,B,Minor,80,46,62,3,6,11,46
Where Are You Now,"Lost Frequencies, Calum Scott",972509632,121,F#,Minor,67,26,64,52,0,17,10
WORTH NOTHING,"Twisted, Oliver Tree",213438580,140,D,Minor,58,17,62,18,0,20,8
KICK BACK,Kenshi Yonezu,210038833,102,C#,Major,58,29,94,0,0,9,11
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,227918678,82,A,Major,70,31,34,60,1,11,4
Good Days,SZA,826623384,121,C#,Minor,46,53,78,23,0,72,6
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",1802514301,103,F#,Minor,70,92,83,1,0,7,6
Shut up My Moms Calling - (Sped Up),Hotel Ugly,181831132,85,F,Minor,65,36,47,31,0,12,10
Ferrari,"James Hype, Miggy Dela Rosa",462791599,125,C#,Minor,84,70,69,1,0,5,5
"You're On Your Own, Kid",Taylor Swift,348647203,120,D,Major,69,40,39,41,0,13,6
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,807561936,93,E,Major,35,38,23,91,0,29,3
It's the Most Wonderful Time of the Year,Andy Williams,663832097,202,G,Major,24,76,60,77,0,12,4
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,446390129,134,C#,Major,45,72,24,91,0,18,4
Underneath the Tree,Kelly Clarkson,485285717,160,G#,Major,51,69,81,0,0,21,5
Feliz Navidad,Josï¿½ï¿½ Felic,520034544,148,D,Major,50,96,82,47,0,34,4
Holly Jolly Christmas,Michael Bublï¿,476244795,151,G,Major,65,70,47,87,0,9,4
Mistletoe,Justin Bieber,629173063,162,F#,Minor,67,88,54,51,0,9,4
Sleigh Ride,The Ronettes,404664135,92,D,Major,53,84,77,40,0,32,3
Seek & Destroy,SZA,98709329,152,C#,Major,65,35,65,44,18,21,7
Love Language,SZA,110849052,65,A,Minor,71,55,26,85,0,13,8
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",460492795,147,D,Major,33,39,61,32,0,77,3
Used (feat. Don Toliver),"SZA, Don Toliver",94005786,150,A#,Minor,73,71,69,53,0,32,9
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,389771964,139,C#,Major,36,22,15,84,0,11,4
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,403939487,95,B,Major,75,74,58,36,0,9,3
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",110073250,125,F#,Major,62,59,43,84,3,11,5
Merry Christmas Everyone,Shakin' Stevens,351636786,101,C#,Minor,72,91,87,14,0,13,3
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",473248298,143,D,Major,60,86,32,88,0,34,6
SOS,SZA,73981293,119,G,Minor,51,51,66,67,0,9,23
Open Arms (feat. Travis Scott),"SZA, Travis Scott",155653938,78,A,Major,67,22,59,76,1,15,16
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",395591396,96,A,Major,23,19,25,91,0,40,3
Driving Home for Christmas - 2019 Remaster,Chris Rea,429504768,180,A,Major,51,87,58,36,0,18,4
Christmas (Baby Please Come Home),Darlene Love,242767149,126,D#,Major,34,35,76,39,0,8,5
Gone Girl,SZA,65362788,150,F,Major,43,42,44,57,0,15,6
F2F,SZA,67540165,90,D,Major,53,47,74,9,0,34,4
Notice Me,SZA,62019074,160,F,Major,72,78,68,28,0,11,12
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",295998468,113,G,Major,73,72,32,77,0,15,5
Antidepresan,"Mabel Matiz, Mert Demir",136689549,100,B,Minor,70,92,59,3,0,10,3
Wild Flower (with youjeen),RM,135611421,155,G#,Major,49,42,77,3,0,12,9
I Hate U,SZA,356709897,107,G,Minor,54,41,39,51,0,11,16
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",110649992,112,G#,Major,80,15,54,9,0,38,5
SPIT IN MY FACE!,ThxSoMch,301869854,166,C#,Major,70,57,57,9,20,11,7
Deck The Hall - Remastered 1999,Nat King Cole,127027715,107,F#,Minor,69,96,36,81,0,8,4
Smoking on my Ex Pack,SZA,57144458,81,G#,Major,47,33,68,24,0,22,38
Conceited,SZA,56870689,150,C#,Major,79,77,46,5,0,11,7
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",323437194,110,A,Major,66,19,32,69,0,12,4
Maroon,Taylor Swift,317726339,108,G,Major,64,4,40,6,0,10,6
Bejeweled,Taylor Swift,328207708,164,G,Major,70,39,56,6,0,9,7
Tarot,"Bad Bunny, Jhay Cortez",608228647,114,B,Minor,80,42,68,2,0,66,4
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",180577478,93,F,Major,63,93,88,1,0,12,4
Desesperados,"Chencho Corleone, Rauw Alejandro",809306935,90,C#,Minor,87,51,69,36,0,9,8
Too Late,SZA,49262961,128,B,Major,45,35,68,78,0,39,8
Party,"Bad Bunny, Rauw Alejandro",614555082,97,A,Major,83,47,80,2,0,24,9
Run Rudolph Run - Single Version,Chuck Berry,245350949,152,G,Minor,69,94,71,79,0,7,8
Jingle Bells - Remastered 1999,Frank Sinatra,178660459,175,G#,Major,51,94,34,73,0,10,5
Far,SZA,51641685,116,D,Major,61,48,55,67,0,16,8
On Time (with John Legend),"John Legend, Metro Boomin",78139948,80,F,Minor,33,51,59,76,0,44,6
Is There Someone Else?,The Weeknd,391251368,135,A,Minor,70,60,58,4,0,16,3
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",349585590,109,F,Major,60,45,47,62,0,31,5
Do It To It,"Cherish, ACRAZE",674772936,125,B,Minor,85,64,81,2,5,7,9
How Do I Make You Love Me?,The Weeknd,119238316,121,G,Minor,80,62,51,2,0,9,8
Gasoline,The Weeknd,116903579,123,F#,Minor,74,35,73,0,0,21,5
Infinity,Jaymes Young,888046992,122,B,Minor,67,50,67,15,0,30,4
Take My Breath,The Weeknd,130655803,121,A#,Minor,70,35,77,1,0,26,4
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",88103848,135,C#,Major,41,27,64,36,0,60,3
Best Friends,The Weeknd,101114984,87,E,Minor,49,49,59,44,0,35,21
Kiss Me More (feat. SZA),"SZA, Doja Cat",1575467011,111,G#,Major,77,74,66,30,0,13,3
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",91656026,110,D,Major,75,85,84,10,0,31,19
Dawn FM,The Weeknd,53933526,78,A,Minor,27,10,49,62,0,49,5
Surface Pressure,Jessica Darrow,267758538,180,D,Major,65,37,58,2,0,4,31
Starry Eyes,The Weeknd,74601456,86,A,Minor,28,13,41,50,0,19,3
THATS WHAT I WANT,Lil Nas X,920797189,88,C#,Minor,74,55,85,1,0,5,22
One Right Now (with The Weeknd),"The Weeknd, Post Malone",539595276,97,C#,Major,68,72,78,4,0,7,5
Mon Amour - Remix,"Aitana, zzoilo",578207856,116,D,Major,75,36,76,12,0,10,10
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",775542072,170,E,Minor,64,14,70,9,0,9,8
Donï¿½ï¿½ï¿½t Break My,The Weeknd,63803529,122,A#,Major,77,25,62,34,0,23,3
Oh My God,Adele,466214729,88,C#,Major,53,55,73,9,0,3,5
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",236940480,170,F,Minor,70,61,44,40,0,37,4
A Tale By Quincy,The Weeknd,41924466,94,F,Minor,46,55,50,71,0,10,11
I AM WOMAN,Emmy Meli,225259194,170,A#,Major,65,46,47,12,0,13,16
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",393230256,90,E,Minor,79,79,70,57,0,66,8
It'll Be Okay,Shawn Mendes,287201015,78,G,Major,40,7,29,62,0,9,3
Softcore,The Neighbourhood,599770206,94,D,Major,57,36,58,5,0,15,3
Super Gremlin,Kodak Black,342779426,73,D,Major,83,11,41,0,0,36,14
Volvï¿,"Aventura, Bad Bunny",673801126,176,C#,Major,73,79,86,42,0,7,18
Todo De Ti,Rauw Alejandro,1168642797,128,D#,Minor,81,57,63,40,1,10,4
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",383550148,82,D,Major,63,85,62,6,0,35,4
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",530511203,95,D,Major,77,40,47,2,0,9,3
Tacones Rojos,Sebastian Yatra,510876816,123,B,Minor,75,93,86,8,0,14,3
Dakiti,"Bad Bunny, Jhay Cortez",1763363713,110,E,Minor,73,14,57,40,0,11,5
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",374191487,96,C#,Minor,66,76,82,47,0,10,32
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",354065229,110,C#,Minor,86,31,53,43,0,11,6
Butter,BTS,1143647827,110,G#,Major,79,70,36,0,0,6,11
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",311395144,78,C#,Minor,77,49,42,1,1,13,19
You Right,"Doja Cat, The Weeknd",672656250,129,G#,Major,83,44,62,2,0,8,6
deja vu,Olivia Rodrigo,1256880657,181,A,Major,44,22,60,61,0,42,9
TO THE MOON,Jnr Choi,245095641,144,D,Major,74,39,65,5,1,11,35
Lost in the Fire,"The Weeknd, Gesaffelstein",686734357,101,D,Major,66,18,68,9,0,12,4
Salimo de Noche,"Trueno, Tiago pzk",261414174,84,D,Major,67,78,63,29,0,12,5
Volando - Remix,"Sech, Bad Bunny, Mora",610045621,154,F#,Major,66,63,69,21,0,11,7
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",1115880852,148,F,Major,59,72,62,18,0,9,3
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",594482982,146,F,Minor,85,22,37,13,0,7,30
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",184937148,141,C#,Major,59,56,63,12,0,6,36
Phantom Regret by Jim,The Weeknd,31959571,108,A,Minor,46,23,48,75,30,14,4
Freaks,Surf Curse,824420218,180,A,Major,35,41,94,0,63,5,5
Acapulco,Jason Derulo,363467642,122,A#,Major,77,51,79,5,0,16,5
Daddy Issues,The Neighbourhood,1127468248,85,A#,Major,59,33,52,7,15,12,3
thought i was playing,"21 Savage, Gunna",60680939,148,C#,Major,68,29,73,0,0,7,7
ELEVEN,IVE,247737946,120,A,Major,83,59,73,6,0,5,11
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",154797871,120,E,Major,72,54,71,26,0,10,4
Miserable Man,David Kushner,124407432,110,A#,Major,63,31,35,93,0,29,3
happier,Olivia Rodrigo,850608354,169,F#,Major,39,36,45,81,0,8,13
Praise God,Kanye West,376333030,118,C#,Major,80,21,55,1,0,26,17
Get Into It (Yuh),Doja Cat,516784627,92,G#,Minor,91,79,66,32,0,9,16
Before You Go,Lewis Capaldi,1608045237,112,D#,Major,45,19,60,63,0,9,6
Sky,Playboi Carti,506778838,140,D,Major,79,56,91,26,0,13,21
Rolling in the Deep,Adele,1472799873,105,G#,Major,73,52,76,13,0,5,3
Sobrio,Maluma,513643924,178,F,Major,76,63,77,14,0,15,22
Peru,"Ed Sheeran, Fireboy DML",261286503,108,G,Minor,96,71,42,57,0,8,9
favorite crime,Olivia Rodrigo,783706581,173,A,Major,40,19,29,86,0,34,4
Thunder,"Prezioso, Gabry Ponte, LUM!X",422691058,101,C#,Major,67,40,90,3,0,34,6
The Feels,TWICE,345903614,120,A,Major,81,92,90,9,0,8,7
No Lie,"Sean Paul, Dua Lipa",956865266,102,G,Major,74,45,89,5,0,26,13
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",427486004,124,G#,Minor,79,79,84,2,0,5,5
Pope Is a Rockstar,SALES,156658366,90,E,Minor,73,31,45,85,24,11,3
2055,Sleepy hallow,624515457,161,F#,Minor,78,65,52,46,0,12,31
Bored,Billie Eilish,777765388,120,G,Major,60,11,33,90,0,8,5
Astronaut In The Ocean,Masked Wolf,1138474110,150,E,Minor,78,47,70,18,0,15,9
Ley Seca,"Anuel Aa, Jhay Cortez",355219175,105,G#,Major,76,58,84,10,0,13,10
Every Summertime,NIKI,290228626,79,F#,Major,63,76,67,38,0,6,4
Talking To The Moon,Bruno Mars,1062956628,146,C#,Minor,52,7,61,51,0,11,3
you broke me first,Tate McRae,1180094974,124,E,Major,64,8,37,79,0,9,5
The Nights,Avicii,1456081449,126,F#,Major,53,66,85,2,0,24,4
Take My Breath,The Weeknd,432702334,121,G#,Major,75,53,74,2,0,11,5
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",489945871,136,B,Minor,80,33,60,0,0,32,14
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",1223481149,77,G,Major,73,54,74,23,0,41,23
Lucid Dreams,Juice WRLD,2288695111,84,B,Minor,44,22,48,38,0,33,24
All of Me,John Legend,2086124197,120,G#,Major,42,33,26,92,0,13,3
Smells Like Teen Spirit - Remastered 2021,Nirvana,1690192927,117,C#,Major,52,73,91,0,0,11,7
Fair Trade (with Travis Scott),"Drake, Travis Scott",593917618,168,C#,Major,67,29,47,5,0,22,26
Bar,"Tini, L-Gante",200972675,94,C#,Major,52,68,69,13,0,33,8
The Rumbling (TV Size),SiM,71014967,145,G#,Major,41,65,88,0,0,26,5
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",560222750,134,C#,Major,71,14,61,1,0,23,33
Mr. Brightside,The Killers,1806617704,148,C#,Major,35,24,93,0,0,10,8
Blessed-Cursed,ENHYPEN,77337771,127,E,Minor,60,40,89,9,0,60,6
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",528544703,172,F#,Minor,74,79,66,11,0,8,16
Streets,Doja Cat,865640097,90,B,Major,75,19,46,21,4,34,8
Shallow,"Lady Gaga, Bradley Cooper",2159346687,96,G,Major,57,30,40,38,0,26,3
Polaroid Love,ENHYPEN,211372494,138,G,Minor,74,65,67,46,0,36,4
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",651732901,120,G,Major,72,67,72,0,0,13,4
Permission to Dance,BTS,608334048,125,A,Major,70,65,74,1,0,34,4
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",863756573,123,D,Major,82,80,86,1,0,30,13
RAPSTAR,Polo G,797402345,81,F#,Major,79,44,54,41,0,13,24
'Till I Collapse,"Eminem, Nate Dogg",1695712020,171,C#,Major,55,10,85,7,0,8,20
Memories,Maroon 5,1759567999,91,B,Major,77,60,32,84,0,8,5
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",223319934,84,G,Minor,56,61,76,10,0,14,11
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",54937991,115,F,Minor,90,74,54,16,0,13,28
MAMIII,"Karol G, Becky G",716591492,94,E,Minor,84,90,70,9,0,14,8
Still D.R.E.,"Dr. Dre, Snoop Dogg",1210599487,93,B,Major,81,53,78,18,0,6,24
Stay Alive (Prod. SUGA of BTS),Jung Kook,246376690,130,D,Minor,51,50,76,30,0,10,7
Boyfriend,Dove Cameron,496311364,180,G,Minor,35,23,61,23,0,19,6
The Next Episode,"Dr. Dre, Snoop Dogg",843309044,95,D#,Minor,92,31,89,3,0,8,25
Light Switch,Charlie Puth,500340342,184,F#,Major,69,91,63,11,0,9,31
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",107255472,147,G#,Minor,47,50,80,10,0,32,38
Brividi,"Mahmood, Blanco",135079152,123,G,Major,52,44,60,40,0,26,3
Lost,Frank Ocean,822239726,123,A#,Minor,91,49,61,3,0,17,22
In Da Club,50 Cent,1202722675,90,F#,Minor,90,79,71,26,0,7,37
she's all i wanna be,Tate McRae,343197054,160,D,Minor,61,65,64,1,0,12,4
Ginseng Strip 2002,Yung Lean,240769997,115,C#,Major,60,37,71,8,0,48,4
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",426204830,141,D#,Major,37,17,67,2,0,34,9
Notion,The Rare Occasions,421135627,160,A,Major,31,30,88,7,0,8,8
Formula,Labrinth,554875730,145,B,Major,57,23,66,4,6,15,4
Excuses,"Intense, AP Dhillon, Gurinder Gill",327498031,95,F,Minor,84,49,72,8,0,15,8
Cigarettes,Juice WRLD,185408548,160,D,Major,60,47,62,3,0,38,4
California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",579395142,92,G,Major,77,76,84,3,0,38,4
Forgot About Dre,"Eminem, Dr. Dre",675039469,134,G#,Major,93,61,74,9,0,17,8
Down Under (feat. Colin Hay),"Luude, Colin Hay",252871192,172,B,Minor,31,4,86,1,0,28,17
Mujeriego,Ryan Castro,231996128,80,A,Major,76,92,62,6,0,8,13
HUMBLE.,Kendrick Lamar,1929770265,150,C#,Minor,91,42,60,0,0,9,12
Stan,"Eminem, Dido",918915401,80,F#,Minor,78,53,74,4,0,45,21
Contection,"GODZZ__-, Zakaria",1180896317,166,A#,Minor,81,83,75,14,0,29,34
Swim,Chase Atlantic,498960285,120,G#,Major,67,8,54,27,0,8,4
Numb Little Bug,Em Beihold,258714692,85,G#,Minor,74,61,52,30,0,26,9
212,"Mainstreet, Chefin",143139338,154,D,Minor,79,86,52,66,0,9,7
Problemï¿½,"Alvaro Diaz, Rauw Alejandro",209768491,92,D,Minor,73,37,74,28,0,14,6
Bussin,"Nicki Minaj, Lil Baby",64714573,140,B,Major,89,75,70,6,0,13,5
Worst Day,Future,50746620,89,C#,Major,65,60,60,11,0,10,40
Hrs and Hrs,Muni Long,181328253,140,G#,Minor,51,66,53,60,0,11,18
Alien Blues,Vundabar,370068639,82,D#,Major,47,44,76,8,91,9,3
Thinking Out Loud,Ed Sheeran,2280566092,79,D,Major,78,58,45,47,0,18,3
Still Don't Know My Name,Labrinth,563902868,88,F,Major,31,31,63,47,27,21,12
Christmas Tree,V,317622165,139,F,Major,44,18,38,70,0,12,4
When I R.I.P.,Labrinth,203680270,80,G#,Minor,39,45,55,73,0,9,21
Do We Have A Problem?,"Nicki Minaj, Lil Baby",81350745,120,C#,Minor,84,54,51,47,0,12,40
Forever,Labrinth,282883169,80,E,Minor,56,19,46,92,72,11,3
Gospel (with Eminem),"Eminem, Dr. Dre",64787943,117,C#,Major,92,62,86,11,0,24,24
NEW MAGIC WAND,"Tyler, The Creator",461437791,140,F,Minor,62,46,73,10,0,67,11
Adore You,Harry Styles,1439191367,99,G#,Major,68,57,77,2,0,10,5
La Santa,"Daddy Yankee, Bad Bunny",759208783,93,C#,Major,74,59,87,3,0,8,5
Something In The Way - Remastered 2021,Nirvana,368646862,106,G#,Major,44,8,20,74,42,11,3
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",299634472,124,G,Major,81,68,63,17,0,10,22
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",756907987,95,G#,Major,76,96,70,18,0,33,4
Una Noche en Medellï¿½,Cris Mj,682475162,96,A#,Minor,87,82,53,10,0,5,8
Envolver,Anitta,546191065,92,E,Minor,81,40,73,15,0,9,8
Starlight,Dave,229473310,124,G,Major,95,36,37,35,0,10,28
Hati-Hati di Jalan,Tulus,202677468,72,F#,Major,64,76,44,70,9,12,4
DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",208166039,135,A,Minor,78,55,57,4,0,10,8
Yo Voy (feat. Daddy Yankee),Zion & Lennox,527033089,95,A#,Major,81,56,70,4,0,5,24
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",94616487,71,C#,Minor,59,70,74,56,0,11,40
Jordan,Ryan Castro,394030335,180,A#,Minor,80,71,68,6,0,10,37
Nail Tech,Jack Harlow,193443895,150,E,Minor,65,11,58,0,0,12,9
Chale,Eden Muï¿½ï,299648208,189,G#,Major,55,86,44,40,0,7,4
Ya No Somos Ni Seremos,Christian Nodal,319757142,140,G,Major,59,73,45,44,0,34,3
Freaky Deaky,"Tyga, Doja Cat",153240879,104,D,Minor,80,24,65,2,0,9,4
this is what falling in love feels like,JVKE,346127840,129,B,Major,42,33,44,62,0,8,6
La Zona,Bad Bunny,312622938,94,C#,Minor,76,81,80,20,0,25,4
Hope,XXXTENTACION,1200808494,146,A,Minor,59,23,46,66,0,15,6
Levitating,Dua Lipa,797196073,103,F#,Minor,69,90,88,5,0,29,8
Wake Me Up - Radio Edit,Avicii,1970673297,124,D,Major,53,66,78,0,0,16,5
"jealousy, jealousy",Olivia Rodrigo,665765558,164,A#,Minor,70,71,58,24,0,7,13
Demasiadas Mujeres,C. Tangana,339473453,126,A,Minor,67,37,46,13,0,10,39
Something Just Like This,"The Chainsmokers, Coldplay",2204080728,103,B,Minor,61,47,65,3,0,17,4
Closer,"The Chainsmokers, Halsey",2591224264,95,G#,Major,75,64,52,41,0,11,3
O.O,NMIXX,135444283,200,B,Minor,39,28,77,4,0,6,29
Tom's Diner,"AnnenMayKantereit, Giant Rooks",236872197,98,F#,Minor,68,33,43,38,0,36,14
First Class,Jack Harlow,694525298,107,G#,Major,91,32,56,3,0,11,10
